exchange_point_id; region; country; city; long_name; status; media_type; organization_type; establishment; url; member_list_url; looking_glass_url; participants; traffic; prefixes
121; Europe; Italy; Torino; Torino Piemonte Exchange Point; Active; Ethernet; Association;20020000; http://www.top-ix.org; http://www.top-ix.org/peering; ;74;48870000;7542
1132; Europe; Italy; Udine; Friuli Venezia Giulia Internet Exchange; Active; ; Commercial;20090000; http://www.fvg-ix.net/; http://www.fvg-ix.net/index.php?option=com_content&view=article&id=63&Itemid=67&lang=en; ;7;0;0
143; Africa; Kenya; Nairobi; Kenya Internet Exchange Point; Active; Ethernet; Association;20010200; http://www.kixp.or.ke; http://www.kixp.or.ke/index.php?option=com_content&task=view&id=41&Itemid=23; ;29;1320000;2635
1702; Europe; Kosovo; PrishtinÌÇ; KOSIX Internet Exchange Point; Active; Ethernet; Governmental;20110623; http://www.kosix.net; http://www.kosix.net/en-us/members/listofmembers.aspx; ;4;60000;0
1236; Europe; Latvia; Riga; Santa Monica Internet Local Exchange; Active; Ethernet; Commercial;20051011; http://www.smile-ixp.net/; ; http://lg.smile.smn.lv/cgi-bin/lg/lg.cgi;29;8900000;327
693; Europe; Lebanon; Beirut; Beirut Internet Exchange; Active; Ethernet; Association;20071206; http://www.beirutix.net; ; ;9;63360;0
1897; Africa; Liberia; Monrovia; Liberia Internet Exchange Point; Active; Ethernet; Association;20150804; ; ; ;6;100;0
1859; Europe; Liechtenstein; Eschen; Rheintal Internet Exchange; Active; Ethernet; Association;20111027; http://www.rheintal-ix.net; http://www.rheintal-ix.net/rheintal_ix/participants/; ;12;167210;0
1576; Europe; Lithuania; Vilnius; Lithuania Internet Exchange; Active; Ethernet; Commercial;20100000; http://www.litix.lt; ; ;5;3340000;0
926; Europe; Lithuania; Vilnius; Lithuanian Internet service providers exchange unit; Active; Ethernet; Governmental;20080000; http://is.lt/; ; ;24;0;0
1234; Europe; Luxembourg; Luxembourg; Luxembourg Commercial Internet Exchange; Active; Ethernet; Commercial;20100000; http://www.lu-cix.lu/; http://www.lu-cix.lu/members-list.html; ;44;40000000;0
1029; Africa; Malawi; Blantyre; Malawi IXP; Active; Ethernet; Association;20081201; http://www.mispa.org.mw/mix.html; http://www.mispa.org.mw/members.html; ;21;10000;160
155; Europe; Malta; Msida; Malta Internet Exchange; Active; Ethernet; University;19990907; http://www.mix.net.mt; http://www.mix.net.mt/participants.html; ;12;0;0
156; Africa; Mauritius; Ebene; Mauritius Internet Exchange; Active; Ethernet; Association;20051200; http://www.mixp.org/index.html; http://www.mixp.org/index.html#members; ;8;58000;95
158; Africa; Mozambique; Maputo; Mozambique Internet Exchange; Active; Ethernet; University;20020700; http://www.mozix.org.mz; http://www.mozix.org.mz/membros.htm; ;24;129756;0
1784; Africa; Namibia; Windhoek; Windhoek IXP; Active; Ethernet; Association;20140307; http://www.ixp.org.na; ; ;5;50000;66
160; Europe; Netherlands; Amsterdam; Amsterdam Internet Exchange; Active; Ethernet; Association;19971229; http://www.ams-ix.net; http://www.ams-ix.net/connected/; ;682;6098800000;843064
572; Europe; Netherlands; Amsterdam; Neutral Internet Exchange; Active; Ethernet; Association;20020301; http://www.nl-ix.net; https://www.nl-ix.net/members/full-memberlist/; ;518;1200000000;91600
162; Europe; Netherlands; Enschede; Nederlands-Duitse Internet Exchange; Active; Ethernet; Commercial;20010400; http://www.ndix.net; ; ;21;50000;0
163; Europe; Netherlands; Groningen; Groningen-IX; Active; Ethernet; Association;20010000; http://www.gn-ix.net/; http://www.gn-ix.net/content/customerlist; ;51;0;0
508; Europe; Netherlands; Leeuwarden; Friese Internet Exchange; Active; ; Association;20060126; http://www.fr-ix.nl/; http://www.fr-ix.nl/index.php?option=com_content&view=article&id=121&Itemid=107; ;38;1310000;0
803; Europe; Netherlands; Rotterdam; Rotterdam Internet eXchange; Active; Ethernet; Association;20070000; http://www.r-ix.nl/; http://www.r-ix.nl/content/customerlist; ;63;0;0
1884; Africa; Nigeria; Abuja; IXPN - Abuja; Active; Ethernet; Association;20110728; http://www.ixpn.net.ng; http://ixp.net.ng/abuja-member-list/; ;4;0;0
616; Africa; Nigeria; Lagos; IXPN - Lagos; Active; Ethernet; Association;20070500; http://www.ixp.net.ng/; http://ixp.net.ng/member-list/; http://lg.ixp.net.ng/lg/;30;1550000;2496
1885; Africa; Nigeria; Port Harcourt; IXPN - Port Harcourt; Active; Ethernet; Association;20120517; http://ixp.net.ng; ; ;2;0;0
1507; Europe; Norway; Bergen; Bergen Internet Exchange; Active; Ethernet; University;20040000; http://www.nix.no/; http://www.uio.no/tjenester/it/nett/fastnett/nix/nix-ops.html; ;5;217967;0
767; Europe; Norway; Oslo; Free Internet eXchange Oslo; Active; Ethernet; Association;20080116; http://www.fixo.no; http://www.fixo.no/members; ;48;0;0
174; Europe; Norway; Oslo; Norwegian Internet Exchange Oslo 1; Active; Ethernet; University;19930300; http://www.nix.no/; http://www.uio.no/nix/nix-ops.html; ;64;51030870;0
1506; Europe; Norway; Oslo; Norwegian Internet Exchange Oslo 2; Active; Ethernet; University;20000500; http://www.nix.no/; http://www.uio.no/tjenester/it/nett/fastnett/nix/nix-ops.html; ;21;8758192;0
1508; Europe; Norway; Trondheim; Trondheim Internet Exchange; Active; Ethernet; University;20050000; http://www.nix.no/; http://www.uio.no/tjenester/it/nett/fastnett/nix/nix-ops.html; ;5;272549;0
1783; Europe; Palestine; Ramallah; Palestinian Internet Exchange; Active; Layer-3; Association;20120604; http://pix.ps; http://pix.ps/index.php?option=com_content&view=article&id=54&Itemid=53; ;9;27300;271
880; Europe; Poland; Katowice; Tysiaclecie Internet Exchange; Active; Ethernet; Association;20040400; http://www.ix.1000lecie.pl/; http://www.ix.1000lecie.pl/uczestnicy.html; ;7;0;0
723; Europe; Poland; KrakÌ_w; Krakowski Traffic Exchange Point; Active; ; Association;20091100; http://www.ix.krakow.pl; http://www.ix.krakow.pl/?str=uczestnicy; ;28;0;0
1238; Europe; Poland; Lodz; Lodz Internet Exchange; Active; Ethernet; Commercial;20090000; http://www.lix.net.pl/; http://www.lix.net.pl/?cms_page_id=_uczestnicy; http://www.lix.net.pl/lg;16;10500000;0
